fecha,producto_id,Amazon,Decathlon,Deporvillage
2021-10-25,PROD_001,82.96,111.88,97.43
2021-10-25,PROD_002,112.56,108.61,115.58
2021-10-25,PROD_003,79.79,78.44,80.11
2021-10-25,PROD_004,72.6,67.29,74.45
2021-10-25,PROD_005,37.71,33.6,33.07
2021-10-25,PROD_006,70.47,58.07,64.83
2021-10-25,PROD_007,69.52,65.53,70.86
2021-10-25,PROD_008,65.86,60.24,66.94
2021-10-25,PROD_009,371.7,329.98,350.87
2021-10-25,PROD_010,173.54,147.89,159.04
2021-10-25,PROD_011,48.84,40.24,44.61
2021-10-25,PROD_012,52.5,50.6,56.64
2021-10-25,PROD_013,23.22,23.05,26.02
2021-10-25,PROD_014,42.91,36.42,39.05
2021-10-25,PROD_015,133.45,142.28,131.29
2021-10-25,PROD_016,732.48,697.0,775.73
2021-10-25,PROD_017,92.12,86.48,99.31
2021-10-25,PROD_018,67.32,65.57,66.62
2021-10-25,PROD_019,110.29,101.32,108.45
2021-10-25,PROD_020,77.57,71.76,78.48
2021-10-25,PROD_021,127.72,106.44,118.27
2021-10-25,PROD_022,19.38,17.45,19.82
2021-10-25,PROD_023,34.3,33.16,34.42
2021-10-25,PROD_024,46.96,44.19,50.44
2021-10-26,PROD_001,84.25,110.88,94.66
2021-10-26,PROD_002,112.78,106.81,119.42
2021-10-26,PROD_003,89.14,75.61,87.75
2021-10-26,PROD_004,80.4,66.77,70.63
2021-10-26,PROD_005,33.73,31.96,36.45
2021-10-26,PROD_006,66.73,60.05,63.9
2021-10-26,PROD_007,69.47,64.38,74.12
2021-10-26,PROD_008,66.94,59.37,66.94
2021-10-26,PROD_009,374.49,331.24,355.38
2021-10-26,PROD_010,172.21,150.29,161.21
2021-10-26,PROD_011,46.86,40.42,43.89
2021-10-26,PROD_012,55.83,50.32,55.73
2021-10-26,PROD_013,24.73,22.89,26.7
2021-10-26,PROD_014,37.67,36.83,41.61
2021-10-26,PROD_015,135.98,142.6,130.5
2021-10-26,PROD_016,747.29,713.33,766.45
2021-10-26,PROD_017,98.36,87.45,93.36
2021-10-26,PROD_018,69.49,64.56,70.56
2021-10-26,PROD_019,111.69,98.28,106.86
2021-10-26,PROD_020,78.33,73.41,77.22
2021-10-26,PROD_021,125.65,108.1,116.67
2021-10-26,PROD_022,20.71,18.03,21.33
2021-10-26,PROD_023,32.66,33.33,35.33
2021-10-26,PROD_024,46.33,46.14,51.84
2021-10-27,PROD_001,84.06,108.9,96.89
2021-10-27,PROD_002,113.99,110.25,120.7
2021-10-27,PROD_003,88.71,77.26,84.54
2021-10-27,PROD_004,77.01,70.51,76.4
2021-10-27,PROD_005,37.57,32.37,34.67
2021-10-27,PROD_006,68.72,61.64,66.83
2021-10-27,PROD_007,71.07,65.18,71.39
2021-10-27,PROD_008,62.78,58.93,64.01
2021-10-27,PROD_009,366.12,325.5,351.0
2021-10-27,PROD_010,175.93,143.73,158.62
2021-10-27,PROD_011,42.36,43.88,45.47
2021-10-27,PROD_012,55.34,51.03,51.96
2021-10-27,PROD_013,24.7,22.83,24.41
2021-10-27,PROD_014,38.92,35.81,39.03
2021-10-27,PROD_015,138.28,143.54,134.95
2021-10-27,PROD_016,751.94,705.42,777.95
2021-10-27,PROD_017,97.63,88.21,93.52
2021-10-27,PROD_018,70.41,65.2,71.17
2021-10-27,PROD_019,105.56,101.28,112.02
2021-10-27,PROD_020,76.35,71.19,78.08
2021-10-27,PROD_021,126.33,110.92,119.51
2021-10-27,PROD_022,18.63,18.06,20.15
2021-10-27,PROD_023,35.24,34.14,35.18
2021-10-27,PROD_024,49.22,45.31,52.23
2021-10-28,PROD_001,81.98,109.87,96.08
2021-10-28,PROD_002,111.93,108.4,117.44
2021-10-28,PROD_003,87.0,76.85,81.91
2021-10-28,PROD_004,74.1,68.27,78.57
2021-10-28,PROD_005,34.15,32.73,36.1
2021-10-28,PROD_006,66.06,60.35,65.42
2021-10-28,PROD_007,70.36,64.41,71.46
2021-10-28,PROD_008,66.23,58.69,62.7
2021-10-28,PROD_009,362.04,322.12,352.57
2021-10-28,PROD_010,177.03,145.24,160.29
2021-10-28,PROD_011,44.49,41.06,43.53
2021-10-28,PROD_012,49.82,53.66,56.9
2021-10-28,PROD_013,27.06,23.11,25.19
2021-10-28,PROD_014,42.3,38.73,40.1
2021-10-28,PROD_015,133.65,145.96,131.17
2021-10-28,PROD_016,738.5,706.06,767.93
2021-10-28,PROD_017,91.94,91.89,90.46
2021-10-28,PROD_018,65.79,67.0,72.47
2021-10-28,PROD_019,114.12,103.18,111.75
2021-10-28,PROD_020,79.03,71.57,82.48
2021-10-28,PROD_021,126.61,110.96,120.21
2021-10-28,PROD_022,19.85,18.01,19.52
2021-10-28,PROD_023,36.24,32.84,33.13
2021-10-28,PROD_024,48.71,45.66,52.01
2021-10-29,PROD_001,83.84,110.32,94.48
2021-10-29,PROD_002,112.67,108.27,118.42
2021-10-29,PROD_003,79.18,76.55,83.71
2021-10-29,PROD_004,70.95,68.79,73.65
2021-10-29,PROD_005,32.51,32.01,34.84
2021-10-29,PROD_006,66.74,58.48,64.75
2021-10-29,PROD_007,68.08,63.33,66.72
2021-10-29,PROD_008,64.0,61.52,61.97
2021-10-29,PROD_009,365.51,338.16,349.06
2021-10-29,PROD_010,176.5,148.82,160.54
2021-10-29,PROD_011,47.31,41.72,43.75
2021-10-29,PROD_012,52.13,48.64,54.52
2021-10-29,PROD_013,24.18,24.12,23.86
2021-10-29,PROD_014,41.63,37.26,39.99
2021-10-29,PROD_015,133.15,143.59,132.58
2021-10-29,PROD_016,733.79,698.17,759.78
2021-10-29,PROD_017,87.09,86.18,91.92
2021-10-29,PROD_018,68.65,65.8,66.28
2021-10-29,PROD_019,113.05,98.24,109.52
2021-10-29,PROD_020,79.8,74.15,77.06
2021-10-29,PROD_021,126.38,107.98,120.2
2021-10-29,PROD_022,19.42,18.32,20.04
2021-10-29,PROD_023,34.27,32.41,34.82
2021-10-29,PROD_024,50.21,46.25,50.68
2021-10-30,PROD_001,82.21,109.56,95.3
2021-10-30,PROD_002,111.02,108.98,117.71
2021-10-30,PROD_003,85.28,78.37,86.78
2021-10-30,PROD_004,82.98,68.54,76.32
2021-10-30,PROD_005,36.67,31.79,33.46
2021-10-30,PROD_006,64.8,58.93,64.37
2021-10-30,PROD_007,68.08,64.69,74.72
2021-10-30,PROD_008,60.15,56.46,65.86
2021-10-30,PROD_009,376.36,330.28,355.09
2021-10-30,PROD_010,178.06,143.69,159.01
2021-10-30,PROD_011,45.41,40.04,44.48
2021-10-30,PROD_012,50.08,51.16,52.97
2021-10-30,PROD_013,25.93,22.74,23.17
2021-10-30,PROD_014,38.48,37.87,38.54
2021-10-30,PROD_015,136.27,142.76,132.82
2021-10-30,PROD_016,749.01,722.47,760.66
2021-10-30,PROD_017,93.36,89.61,98.04
2021-10-30,PROD_018,72.38,64.2,71.78
2021-10-30,PROD_019,105.06,99.47,113.27
2021-10-30,PROD_020,79.68,74.64,77.32
2021-10-30,PROD_021,129.22,108.66,116.82
2021-10-30,PROD_022,20.12,17.33,20.75
2021-10-30,PROD_023,34.22,31.85,35.68
2021-10-30,PROD_024,53.63,46.19,47.63
2021-10-31,PROD_001,82.88,108.84,95.45
2021-10-31,PROD_002,111.36,110.36,119.49
2021-10-31,PROD_003,80.92,82.12,83.74
2021-10-31,PROD_004,77.07,68.0,75.31
2021-10-31,PROD_005,34.23,32.28,35.56
2021-10-31,PROD_006,68.14,58.77,69.17
2021-10-31,PROD_007,72.34,61.74,70.46
2021-10-31,PROD_008,68.41,56.38,63.52
2021-10-31,PROD_009,360.2,327.05,359.76
2021-10-31,PROD_010,173.89,147.24,160.47
2021-10-31,PROD_011,46.32,43.02,43.82
2021-10-31,PROD_012,56.83,50.06,56.3
2021-10-31,PROD_013,24.27,22.94,25.54
2021-10-31,PROD_014,36.31,34.99,39.35
2021-10-31,PROD_015,138.0,140.99,134.59
2021-10-31,PROD_016,735.85,704.84,770.32
2021-10-31,PROD_017,97.37,90.62,95.57
2021-10-31,PROD_018,70.43,60.79,73.19
2021-10-31,PROD_019,109.02,95.97,112.98
2021-10-31,PROD_020,79.68,69.31,78.17
2021-10-31,PROD_021,126.78,106.79,118.3
2021-10-31,PROD_022,19.47,18.4,19.73
2021-10-31,PROD_023,35.9,30.67,35.28
2021-10-31,PROD_024,53.41,46.29,50.64
2021-11-01,PROD_001,81.23,110.51,94.32
2021-11-01,PROD_002,112.24,109.52,118.42
2021-11-01,PROD_003,89.61,76.74,83.48
2021-11-01,PROD_004,72.98,70.1,72.45
2021-11-01,PROD_005,33.16,33.35,33.96
2021-11-01,PROD_006,66.54,59.55,64.51
2021-11-01,PROD_007,68.54,62.08,67.39
2021-11-01,PROD_008,62.77,59.81,63.9
2021-11-01,PROD_009,365.44,325.34,359.35
2021-11-01,PROD_010,171.68,146.87,161.11
2021-11-01,PROD_011,44.19,41.62,46.98
2021-11-01,PROD_012,57.31,49.39,55.83
2021-11-01,PROD_013,24.46,22.68,24.45
2021-11-01,PROD_014,39.32,37.38,39.15
2021-11-01,PROD_015,133.29,143.79,132.05
2021-11-01,PROD_016,741.57,721.61,773.07
2021-11-01,PROD_017,102.84,85.84,91.94
2021-11-01,PROD_018,69.05,64.26,70.6
2021-11-01,PROD_019,108.91,96.86,109.84
2021-11-01,PROD_020,76.41,73.31,80.64
2021-11-01,PROD_021,124.7,105.91,117.27
2021-11-01,PROD_022,18.75,17.86,21.1
2021-11-01,PROD_023,35.29,32.7,33.09
2021-11-01,PROD_024,51.2,46.02,48.64
2021-11-02,PROD_001,82.69,107.86,97.91
2021-11-02,PROD_002,114.58,108.41,116.13
2021-11-02,PROD_003,91.17,76.12,88.99
2021-11-02,PROD_004,68.67,68.37,73.8
2021-11-02,PROD_005,35.06,31.52,34.83
2021-11-02,PROD_006,60.72,56.61,64.52
2021-11-02,PROD_007,69.86,65.43,72.93
2021-11-02,PROD_008,69.92,59.72,66.03
2021-11-02,PROD_009,363.22,335.24,355.83
2021-11-02,PROD_010,173.07,147.15,160.68
